# Raw gate output — wd-reviewer agent (claude-opus-5), PR #221 round 3, detached review worktree at 85514b9a (base main = bb58e398), real node_modules. Committed BEFORE adjudication. git status --porcelain identical before and after (both empty).

APPROVE

Round 3 is clean. The round-2 disposition landed exactly as described, nothing else moved, and every contract re-measured green. No findings requiring implementer action.

**Findings (all informational — band 4 / no-action):**

1. `[quality] /private/tmp/.../review-wt-pr221/tests/unit/dream-validate.test.js:2604-2606` — band 4, no action. The comment above the observer says "Observe the artifact descriptor by INODE (descriptor numbers are REUSED, so a bare number would read the same for a leak and a non-leak alike)", but the fixture in fact observes by **fd number** (`heldFd` is the return of `openSync`, and `fstatSync(heldFd)` keys on that number). The comment's own hazard is the one QPD-7 solves by tracking the open *set*; here it is unmitigated. It is harmless in practice — `quarantinePreserve` opens nothing between the finalizer's `closeQuietly(fd)` and the throw, so no reuse window exists on this path, and `post-commit-descriptor-leaked` is PROVEN against exactly this identity. Pre-existing since round 1, adjudicated clean by both round-2 gates; raising it as a change now would be exactly the churn a closing round should not produce. Noted for the lessons inbox, not for the diff.

2. `[quality] .../tests/unit/dream-validate.test.js:2442` — band 4, already routed. The third stale shipped title (`Table D row D1): the write fails before any rename …`) is factually wrong under row F9 — the migrated injection fails the exclusive **create** via `patchFs('openSync')`, and there is no rename in that path. Confirmed stale by inspection. The Deliverables cell permits exactly two title changes, so leaving it untouched is the *correct* boundary behaviour, and the PR body routes it to wd-architect. No implementer action.

3. `[quality] /private/tmp/.../review-wt-pr221/src/core/dream/validate.js:672-675` — band 4, already routed. `DIR_OPEN_FLAGS` ORs `fs.constants.O_DIRECTORY` unguarded while `O_NOFOLLOW` on line 675 (and `TEMP_CREATE_FLAGS`, 663-667) uses the repo's `typeof … === 'number' ? … : 0` idiom. Re-measured: this is cosmetic, not a hazard — JS bitwise OR coerces `undefined` to `0`, so on a platform lacking the constant the flag silently degrades rather than producing `NaN`, and `DURABILITY_AVAILABLE` (line 647) short-circuits `flushDir` at line 809 on the only platform that lacks it. Routed to wd-architect; not in this PR's boundary as a fix.

**Contract-density / closed-contract drift check (ADR-0031).** The D3 title is a four-place mirror — Deliverables cell (spec:484), Table C's `expectRed` (spec:1288, and byte-identically the declaration file), criterion 10 (spec:2120-2122) and Implementation notes (spec:1801) — and all four agree with the shipped test byte for byte; `evaluateRed`'s two-sided equality would have reddened otherwise, and it did not. The round-3 edit reinterprets no settled contract: the declaration's `signal` (`the held descriptor is CLOSED`) survives verbatim inside the folded message, and no mirror was promoted to primary. The one standing density defect is the Deliverables cell's **prose census** of permitted shipped-test changes (spec:484), which has now mispredicted the diff in two independent directions across two rounds — the assertion count (resolved here by folding, not by amendment) and the missed third title (still open). That is the same contract family landing findings in consecutive rounds, so the canonical-extraction recommendation stands: one small table, one row per permitted shipped-test change (seam migration / title change / assertion change), with criterion 10 asserting the table rather than the prose. The PR body already routes this to wd-architect, verbatim. No escalation is triggered — this WP did not fail two review rounds on the same finding; round 2 raised it once and round 3 resolved it.

**Nothing remains for the implementer.** Every Definition-of-done item is satisfied (spec `status: In-Review`, PR title exact, template complete with Decisions made / Discovered issues / `Generated-by:`), all four routed items are wd-architect's and are outside this boundary, and both gates' findings are dispositioned. This is merge-ready pending the maintainer.

**Executed** (all in `/private/tmp/claude-501/-Users-gyulafeher-Documents-Claude-Projects-wienerdog/4d4ee17b-2abe-4e63-af52-c771567eb6da/scratchpad/review-wt-pr221`; scratch written only under the scratchpad root; worktree porcelain empty before and after, HEAD `85514b9a`):

| # | Command | Exit | Result |
|---|---|---|---|
| 1 | `git rev-parse HEAD` / `git status --porcelain` | 0 | `85514b9aff4e86b8cdeea113a3db74756af6378a`, clean |
| 2 | `git rev-parse main` | 0 | `bb58e3982b7de4b5f8a2aa2d596c7b7959f0d5d2` = `bb58e398` ✓ |
| 3 | `git diff --name-status 6b6c5596..85514b9a` | 0 | **exactly 4 paths**: 3 added round-2 raws + `M tests/unit/dream-validate.test.js` (7 lines: +3/-4). No `src/` change since `6b6c5596` (`git diff --stat 6b6c5596..85514b9a -- src/core/dream/validate.js` → empty) |
| 4 | `git diff --name-status bb58e398..85514b9a` | 0 | 12 paths: spec (status flip only), 2 `docs/specs/done/` rows, 6 logbook raws, `src/core/dream/validate.js`, proofs JSON, test file |
| 5 | `node scripts/boundary-check.js docs/specs/WP-quarantine-preserve-durability.md $(git diff --name-only bb58e398..85514b9a)` | **0** | no output — every path in boundary |
| 6 | V1/V2 block, extracted verbatim from the spec's fenced block (lines 1-82) and run | **0** | `V1 OK` / `V2 OK` |
| 7 | `npm run red-proofs` | **0** | `37 declared proof(s), 37 selected`; **37/37 per-proof `PROVEN`**, 0 UNPROVEN; **`RUN: PROVEN`**; 16 criteria roll-up lines total, **7 for this WP (criteria 1-7), each PROVEN**; 26 QPD per-proof lines; **`post-commit-descriptor-leaked` → PROVEN (criterion 7)** |
| 8 | `npm test` | **0** | **`tests 2630 / pass 2618 / fail 0 / cancelled 0 / skipped 12`** — exact match to criterion 10 |
| 9 | `npm run lint` | **0** | markdownlint 640 files / 0 errors; shellcheck clean; frontmatter 268 specs + 4 agents; `lint passed` |
| 10 | D3 test, `main` vs HEAD (`awk` extraction of both bodies) | — | **exactly ONE added `assert` statement** (HEAD:2619-2622); the two pre-existing asserts byte-identical |
| 11 | Non-vacuity of the folded predicate | — | `heldFd >= 0 &&` is load-bearing: `heldFd` initialises to `-1`, so with the `openSync` observer never firing the conjunction is `false` and the assertion fails. Without that conjunct, `fstatSync(-1)` throws `EBADF` and the assertion would be **vacuously true**. Confirmed |
| 12 | All removed lines in the test file, `bb58e398..85514b9a` (47 lines) | — | **zero contain `assert`** → every existing assertion byte-identical (criterion 10) |
| 13 | Added lines < 2689 (shipped region) matching `assert` | — | **exactly 1**: `2619: +  assert.ok(` |
| 14 | Added `test(` lines in shipped region | — | **exactly 2**: D1 `:2472` (`the commit fails after a successful write`) and D3 `:2588` (`…after the commit fails LOUD, and the held descriptor is CLOSED`) — both the Deliverables cell's permitted titles, remaining title text unchanged. Deliverables census satisfied literally: migrated seams + TWO titles + ONE added assertion |
| 15 | Seven Table C identity names, extracted from the table and counted in the suite | — | **all 7 present exactly once, byte-exact, each as a top-level `test('…')`** |
| 16 | `diff <spec Table C inlined object> tests/red-proofs/quarantine-preserve-durability.proofs.json` | 0 | **byte-identical**, 621 lines each |
| 17 | 13 byte-exact `js` source forms from Implementation notes vs `src/core/dream/validate.js` | — | **all 13 occur exactly once** |
| 18 | `post-commit-descriptor-leaked` declaration vs the shipped test | — | `expectRed[0].test` matches the D3 title byte-for-byte; `signal` `the held descriptor is CLOSED` present verbatim in the folded message; `testNamePattern` `descriptor is CLOSED` does not also select QPD-7 (`…opens is CLOSED`) |
| 19 | PR body accounting (`gh pr view 221`) vs my measurements | — | matches on every count: boundary 0, V1/V2 OK, 37/37 + `RUN: PROVEN` + 7 roll-up lines, `2630/2618/0/12`, lint pass, `src/` untouched by the round-2 commit. Only divergence is the red-proofs snapshot count (body `1322`, mine `1325`), which the body itself pre-explains as growing with accumulated logbook raws — not a discrepancy |
| 20 | `git status --porcelain` (post-run) | 0 | still clean; review was read-only |
